66,Bhardwaj Clinic,(0172) 2609439,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15055/bhardwaj-clinic
67,Bharti Medical Hall,(0172) 2564722,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15023/bharti-medical-hall
68,Bimla Medicose,(0172) 2950504,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15099/bimla-medicose
69,Bio Distributors,(0172) 2708190,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15201/bio-distributors
70,Biotech Lefe Care,(0172) 3064200,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15218/biotech-lefe-care
71,Bobby Medical Hall,(0172) 2270018,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15287/bobby-medical-hall
72,Bobby Medical Store,9855128435,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15339/bobby-medical-store
73,CHOUDHARY MED. SHOPEE,9914597968,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15258/choudhary-med-shopee
74,Cannon Pharma Distributors,(0172) 3045877,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15266/cannon-pharma-distributors
75,Capital Medical Store,(0172) 2721760,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/14923/capital-medical-store
76,Capital Medical Store,(0172) 5062608,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15304/capital-medical-store
77,Capital Medicos,(0172) 2576522,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15101/capital-medicos
78,Capital Medicos,(0172) 5074345,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15161/capital-medicos
79,Capital Medicos,9855061260,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15256/capital-medicos
80,Cardio Medical Devices,(0172) 4664875,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15059/cardio-medical-devices
81,Chabra Clinic,(0172) 2651777,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/14926/chabra-clinic
82,Chandigarh Medical & Departmental S...,(0172) 2743206,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/14975/chandigarh-medical-departmental-s
83,Chandigarh Medical Hall,(0172) 2781875,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/14921/chandigarh-medical-hall
84,Chandigarh Medical Store,9501676633,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/14932/chandigarh-medical-store
85,Chandigarh Medicine Centre,(0172) 2749592,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15263/chandigarh-medicine-centre
86,Chandigarh Medicine Centre(CMC),(0172) 5052962,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15070/chandigarh-medicine-centrecmc
87,Chandigarh Medicine Traders,(0172) 5088501,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15031/chandigarh-medicine-traders
88,Chandigarh medicos,9814902188,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15016/chandigarh-medicos
89,Chaudhary Chemists,(0172) 3048728,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/14946/chaudhary-chemists
90,Chaudhary Med Shopee,(0172) 4628935,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/14977/chaudhary-med-shopee
91,Chauhan Medicos,(0172) 5018414,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/15262/chauhan-medicos
